# date	branch	sha	pr	former_bucket
2026-07-06	td-list-exclude-lakeformation-permissions	76bdf88542920c3de99723f237d7486119b80d2e	-	superseded
2026-07-06	f-route-table-assoc-resource-identity	87fa2b3f31be25a9e76841c3ca316ab8c87b3a16	-	no-PR+in-main
2026-07-06	td-remove-import-by-arn	d39e5aee955b4329d94bbab62c7394c44aacfffc	-	no-PR+in-main
2026-07-06	f/datazone-asset-resource	cbd253d00381ae24e87fea5d31ac84fe28f9ea68	-	no-PR+in-main
2026-07-06	td-teamcity-notifications-2	4d6a2d458f1f97f0a2d36a96ef7eb75d09ecdfc4	-	no-PR+in-main
2026-07-06	berky2755/main	97e8769b1fa95beab9d07daefb4616e135dcfaa8	-	no-PR+in-main
2026-07-06	docs/update-maintainer-list	bdfedbb9e258e1ae4090fe059557c71f605d3aaf	-	no-PR+in-main
2026-07-06	td-aws-sdk-go-v2-bumps-2026-02-09	271c7c28b1863701a706bde02be6e894c6d9487b	-	no-PR+in-main
2026-07-06	f-resource-slot-refactor	50a89fcb8afff93e7a8e5826f6336745a0ab04e4	-	no-PR+in-main
2026-07-06	b-eks_cluster_compute_config_modify	0b1389da97e	41925	R2
2026-07-06	f-ri-lb-trust-store	3b181f462c6	43186	R2
2026-07-06	feature/add-analytics-engine-cleanrooms	1274304f567	43614	R2
2026-07-06	f-account-regions	993b59b1b4d	41746	R2
2026-07-06	fix-changelog	42b229a469b	46780	R2
2026-07-06	f-aws_arczonalshift_zonal_autoshift_configuration	66634bea1d0	46114	R2
2026-07-06	td-exclude-agentic-from-markdown-lint	25b25dc243c	47806	R2
2026-07-06	b-aws_default_vpc-import-panic	05154b31b7f	47592	R2
2026-07-06	compliance/update-headers-batch-1	8eca287da92	45408	R1
2026-07-06	compliance/update-headers-batch-10	765dcdcc003	45428	R1
2026-07-06	compliance/update-headers-batch-11	7b5f6180c25	45424	R1
2026-07-06	compliance/update-headers-batch-12	323e618af85	45439	R1
2026-07-06	compliance/update-headers-batch-13	067590a20c3	45420	R1
2026-07-06	compliance/update-headers-batch-14	dd3ea8d9157	45405	R1
2026-07-06	compliance/update-headers-batch-15	10b9a0f207f	45426	R1
2026-07-06	compliance/update-headers-batch-16	499219823c5	45407	R1
2026-07-06	compliance/update-headers-batch-17	1fbefd324d7	45409	R1
2026-07-06	compliance/update-headers-batch-18	d69ae1fb777	45434	R1
2026-07-06	compliance/update-headers-batch-19	776e8a59381	45421	R1
2026-07-06	compliance/update-headers-batch-2	f0b6aaec7c0	45429	R1
2026-07-06	compliance/update-headers-batch-20	f4bde9950bd	45422	R1
2026-07-06	compliance/update-headers-batch-21	ef273117d9d	45442	R1
2026-07-06	compliance/update-headers-batch-22	13837f011cb	45441	R1
2026-07-06	compliance/update-headers-batch-23	6c2e29fb4ea	45432	R1
2026-07-06	compliance/update-headers-batch-24	2118c8e8dfa	45410	R1
2026-07-06	compliance/update-headers-batch-25	876fb4d4a4a	45414	R1
2026-07-06	compliance/update-headers-batch-26	2c0283907be	45430	R1
2026-07-06	compliance/update-headers-batch-27	b04dc20ffdc	45415	R1
2026-07-06	compliance/update-headers-batch-28	785c233dd2e	45412	R1
2026-07-06	compliance/update-headers-batch-29	dd078430d40	45438	R1
2026-07-06	compliance/update-headers-batch-3	7a5665efd9a	45436	R1
2026-07-06	compliance/update-headers-batch-30	16d40bfc148	45427	R1
2026-07-06	compliance/update-headers-batch-31	20fcc99e64a	45437	R1
2026-07-06	compliance/update-headers-batch-32	d5166c2db02	45423	R1
2026-07-06	compliance/update-headers-batch-33	c3fa9ba2896	45416	R1
2026-07-06	compliance/update-headers-batch-34	3c111c1d5af	45431	R1
2026-07-06	compliance/update-headers-batch-35	43da226245a	45419	R1
2026-07-06	compliance/update-headers-batch-36	249af5845e1	45417	R1
2026-07-06	compliance/update-headers-batch-37	012f18cf44e	45435	R1
2026-07-06	compliance/update-headers-batch-38	0470e3616fd	45411	R1
2026-07-06	compliance/update-headers-batch-39	83b51597b82	45413	R1
2026-07-06	compliance/update-headers-batch-4	3153b0e162d	45425	R1
2026-07-06	compliance/update-headers-batch-5	0cc2ccc64cb	45440	R1
2026-07-06	compliance/update-headers-batch-6	67d6d4d5150	45433	R1
2026-07-06	compliance/update-headers-batch-7	dc21a999bf3	45406	R1
2026-07-06	compliance/update-headers-batch-8	d5b16164329	45404	R1
2026-07-06	compliance/update-headers-batch-9	8449095c2d7	45418	R1
2026-07-07	f-new-resource-instance	9091a1051892167bc4bfd4ffba01d6cac3aca78e	38061	R3
2026-07-07	f/bedrock-model-eval-resource	adf5b5e30750d01ef9770363b2c82ab24d006972	38809	R3
2026-07-07	b-cloudwatch-evidently-deprecate	8eb261859dce0bda340b8f65d17b2b73a4edea46	42203	R3
2026-07-07	migrate-s3tables-to-smarterr	d0054113e571de662370a8244934c3cadf9c44be	-	R3
2026-07-07	smarterr-datazone-migration	ad6561aeb92d60955269490ab39b46fcc8379054	-	R3
2026-07-07	smarterr-migration-qbusiness	ff92dd6dfaff4486fb3691a5d23118052039e43c	-	R3
2026-07-07	smarterr-migration-tool	18ee76d4eb327b7ecf20d11020d52bc012051b44	43524	R3
2026-07-07	timestreaminfluxdb-smarterr-migration	5561fdb4315def69940cfd4cb2e38d3afd893c00	-	R3
2026-07-07	jitendra/codereview-test	cdfdb84104b87a2d1c6942f6f01c583644adf63d	46180	R3
